Date,"Makanan, Minuman, dan Tembakau",Pakaian dan Alas Kaki,Kesehatan,Transportasi,"Rekreasi, Olahraga dan Budaya"
1/1/2021,0.37,0.69,0.03,-0.26,0.33
2/1/2021,0.4,0.1,0.19,0.49,-0.67
3/1/2021,1.1,-0.59,0.15,-0.39,0.32
4/1/2021,0.29,0.47,-0.26,0.09,0.22
5/1/2021,0.48,-0.55,0.05,0.73,0.29
6/1/2021,1.12,-0.2,0.06,-0.77,-0.25
7/1/2021,-0.19,-0.88,1.09,0.03,-0.09
8/1/2021,-0.92,-0.25,-0.04,0.05,0.05
9/1/2021,0.5,0.87,0.03,-0.32,0.1
10/1/2021,-0.3,0.66,0.01,-0.12,0.09
11/1/2021,-0.12,-0.42,0.05,1.3,0.16
12/1/2021,1.78,-0.9,0.09,1.39,0.06
1/1/2022,2.24,-1.15,0.04,0.73,0.82
2/1/2022,-1.26,0.15,0.09,-0.17,-0.34
3/1/2022,1.49,0.57,-0.23,1.17,0.09
4/1/2022,1.72,-0.49,0.27,1.95,0.27
5/1/2022,1.34,0.35,0.3,1.05,0.65
6/1/2022,1.35,-0.34,0.1,0.66,0.18
7/1/2022,1.06,-0.06,0.18,1.2,0.41
8/1/2022,-0.9,0.75,0,-1.49,0.08
9/1/2022,-0.73,-0.57,0.02,8.12,0.3
10/1/2022,-0.44,-0.02,0.53,0.63,0.44
11/1/2022,0.05,0.65,0.05,-0.07,0.42
12/1/2022,0.53,-0.47,0.33,-0.14,-0.02
1/1/2023,1.34,0.31,0.1,-0.89,0.71
2/1/2023,0.04,0.71,0.24,-0.17,-0.18
3/1/2023,1.22,0.21,0.08,1.53,0
4/1/2023,0.24,-0.81,-0.01,1.58,0.48
5/1/2023,1.31,0.19,0.06,-1.98,0.06
6/1/2023,0,-0.37,0.02,1.25,0.02
7/1/2023,0.83,0.15,0.11,1.25,0.11
8/1/2023,-0.44,0,0.01,0.83,0.16
9/1/2023,0.32,0.15,0.09,0.03,0.03
10/1/2023,0.48,0.25,0.49,0.66,0.41
11/1/2023,1,0.03,-0.06,0.23,0
12/1/2023,1.11,-0.27,0.13,0.31,0.11
