Kabupaten/Kota,2021,2022,2023
Paser,53888948.57,76262455.33,59217247.16
Kutai Barat,32093136.01,43410261.26,39336027.23
Kutai Kartanegara,177416584.16,240392589.8,204876164.54
Kutai Timur,136617573.31,211101483.67,168271523.71
Berau,43036483.47,60158157.05,51280017.17
Penajam Paser Utara,10089908.12,13128955.18,17245607.03
Mahakam Ulu,2972865.58,3169293.29,3409167.05
Balikpapan,111400693.73,127371534.38,143169188.91
Samarinda,71170547.8,83353692.94,89289448.3
Bontang,57948126.32,63107877.37,68105672.86
Kalimantan Timur,696632667.8,921450986.07,843571252.08
