"Periode",""
"31/01/2019","0.56"
"28/02/2019","-0.01"
"31/03/2019","-0.18"
"30/04/2019","0.15"
"31/05/2019","0.56"
"30/06/2019","0.5"
"31/07/2019","0.3"
"31/08/2019","0.19"
"30/09/2019","-0.27"
"31/10/2019","-0.37"
"30/11/2019","0.21"
"31/12/2019","0.4"
"31/01/2020","0.32"
"29/02/2020","0.4"
"31/03/2020","-0.15"
"30/04/2020","-0.14"
"31/05/2020","0.21"
"30/06/2020","0.22"
"31/07/2020","0.07"
"31/08/2020","-0.17"
"30/09/2020","-0.4"
"31/10/2020","-0.18"
"30/11/2020","0.37"
"31/12/2020","0.25"
"31/01/2021","0.14"
"28/02/2021","0.18"
"31/03/2021","0.2"
"30/04/2021","0.16"
"31/05/2021","0.23"
"30/06/2021","0.36"
"31/07/2021","-0.02"
"31/08/2021","-0.17"
"30/09/2021","0.14"
"31/10/2021","0.04"
"30/11/2021","0.17"
"31/12/2021","0.68"
"31/01/2022","0.87"
"28/02/2022","-0.34"
"31/03/2022","0.7"
"30/04/2022","1.17"
"31/05/2022","0.59"
"30/06/2022","0.47"
"31/07/2022","0.62"
"31/08/2022","-0.26"
"30/09/2022","0.85"
"31/10/2022","0.17"
"30/11/2022","0.16"
"31/12/2022","0.23"
"31/01/2023","0.43"
"28/02/2023","0.11"
"31/03/2023","0.59"
"30/04/2023","0.42"
"31/05/023","0.2"
"30/06/2023","0.18"
"31/07/2023","0.43"
"31/08/2023","-0.02"
"30/09/2023","0.12"
"31/10/2023","0.19"
"30/11/2023","0.37"
"31/12/2023","0.39"
